"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","737","should allow me to mark all items as completed","chromium","Fri Mar 07 23:27:34 IST 2025","passed","Fri Mar 07 23:27:35 IST 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","729","should be hidden when there are no items that are completed","chromium","Fri Mar 07 23:27:45 IST 2025","passed","Fri Mar 07 23:27:46 IST 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","746","should cancel edits on escape","chromium","Fri Mar 07 23:27:42 IST 2025","passed","Fri Mar 07 23:27:43 IST 2025","Editing","demo-todo-app.spec.ts","",""
"","792","should trim entered text","chromium","Fri Mar 07 23:27:41 IST 2025","passed","Fri Mar 07 23:27:42 IST 2025","Editing","demo-todo-app.spec.ts","",""
"","811","should persist its data","chromium","Fri Mar 07 23:27:46 IST 2025","passed","Fri Mar 07 23:27:47 IST 2025","Persistence","demo-todo-app.spec.ts","",""
"","709","should allow me to clear the complete state of all items","chromium","Fri Mar 07 23:27:35 IST 2025","passed","Fri Mar 07 23:27:35 IST 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","743","should highlight the currently applied filter","chromium","Fri Mar 07 23:27:50 IST 2025","passed","Fri Mar 07 23:27:51 IST 2025","Routing","demo-todo-app.spec.ts","",""
"","847","should allow me to edit an item","chromium","Fri Mar 07 23:27:38 IST 2025","passed","Fri Mar 07 23:27:39 IST 2025","Item","demo-todo-app.spec.ts","",""
"","4731","should allow me to add todo items","chromium","Fri Mar 07 23:27:27 IST 2025","passed","Fri Mar 07 23:27:32 IST 2025","New Todo","demo-todo-app.spec.ts","",""
"","777","should display the correct text","chromium","Fri Mar 07 23:27:44 IST 2025","passed","Fri Mar 07 23:27:45 IST 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","768","should clear text input field when an item is added","chromium","Fri Mar 07 23:27:33 IST 2025","passed","Fri Mar 07 23:27:33 IST 2025","New Todo","demo-todo-app.spec.ts","",""
"","743","should remove completed items when clicked","chromium","Fri Mar 07 23:27:45 IST 2025","passed","Fri Mar 07 23:27:45 IST 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","727","should append new items to the bottom of the list","chromium","Fri Mar 07 23:27:33 IST 2025","passed","Fri Mar 07 23:27:34 IST 2025","New Todo","demo-todo-app.spec.ts","",""
"","742","should allow me to display active items","chromium","Fri Mar 07 23:27:47 IST 2025","passed","Fri Mar 07 23:27:48 IST 2025","Routing","demo-todo-app.spec.ts","",""
"","868","complete all checkbox should update state when items are completed / cleared","chromium","Fri Mar 07 23:27:35 IST 2025","passed","Fri Mar 07 23:27:36 IST 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","1039","get started link","chromium","Fri Mar 07 23:27:52 IST 2025","passed","Fri Mar 07 23:27:53 IST 2025","","example.spec.ts","",""
"","28427","LoginWithInvalidCredential","chromium","Fri Mar 07 23:27:53 IST 2025","passed","Fri Mar 07 23:28:21 IST 2025","","LoginTest.spec.ts","",""
"","928","should allow me to mark items as complete","chromium","Fri Mar 07 23:27:36 IST 2025","passed","Fri Mar 07 23:27:37 IST 2025","Item","demo-todo-app.spec.ts","",""
"","906","has title","chromium","Fri Mar 07 23:27:51 IST 2025","passed","Fri Mar 07 23:27:52 IST 2025","","example.spec.ts","",""
"","778","should hide other controls when editing","chromium","Fri Mar 07 23:27:39 IST 2025","passed","Fri Mar 07 23:27:40 IST 2025","Editing","demo-todo-app.spec.ts","",""
"","816","should respect the back button","chromium","Fri Mar 07 23:27:48 IST 2025","passed","Fri Mar 07 23:27:48 IST 2025","Routing","demo-todo-app.spec.ts","",""
"","935","should allow me to display all items","chromium","Fri Mar 07 23:27:49 IST 2025","passed","Fri Mar 07 23:27:50 IST 2025","Routing","demo-todo-app.spec.ts","",""
"","30110","add to cart and fill shipping address from faker data","chromium","Fri Mar 07 23:27:28 IST 2025","broken","Fri Mar 07 23:27:58 IST 2025","","CheckoutTest.spec.ts","",""
"","849","should allow me to un-mark items as complete","chromium","Fri Mar 07 23:27:37 IST 2025","passed","Fri Mar 07 23:27:38 IST 2025","Item","demo-todo-app.spec.ts","",""
"","4","add to cart and fill shipping address","chromium","Fri Mar 07 23:27:27 IST 2025","skipped","Fri Mar 07 23:27:27 IST 2025","","CheckoutTest.spec.ts","",""
"","30124","LoginWithValidCridential","chromium","Fri Mar 07 23:27:59 IST 2025","broken","Fri Mar 07 23:28:29 IST 2025","","LoginTests.spec.ts","",""
"","674","should display the current number of todo items","chromium","Fri Mar 07 23:27:43 IST 2025","passed","Fri Mar 07 23:27:44 IST 2025","Counter","demo-todo-app.spec.ts","",""
"","914","should save edits on blur","chromium","Fri Mar 07 23:27:40 IST 2025","passed","Fri Mar 07 23:27:41 IST 2025","Editing","demo-todo-app.spec.ts","",""
"","766","should allow me to display completed items","chromium","Fri Mar 07 23:27:48 IST 2025","passed","Fri Mar 07 23:27:49 IST 2025","Routing","demo-todo-app.spec.ts","",""
"","784","should remove the item if an empty text string was entered","chromium","Fri Mar 07 23:27:42 IST 2025","passed","Fri Mar 07 23:27:42 IST 2025","Editing","demo-todo-app.spec.ts","",""
